Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
2009	0	34	1,246	3,228	3,855	2,811	4,853	5,751	2,459	2,063	2,505	2,816
2010	2,145	3,600	5,106	5,223	6,134	6,429	8,020	7,021	5,346	6,137	5,582	6,367
2011	5,345	6,684	10,028	10,459	11,157	11,314	10,131	6,885	6,666	7,109	6,865	9,624
2012	8,091	21,752	13,607	10,716	10,146	10,199	10,063	10,191	9,467	7,988	7,257	7,177
2013	7,382	9,551	12,080	11,311	11,420	11,287	10,160	10,017	7,416	8,240	12,870	6,345
2014	8,092	10,584	13,992	14,403	15,606	12,322	14,709	15,069	10,802	10,685	9,146	9,906
2015	8,142	9,965	12,731	11,418	13,886	11,844	13,975	17,108	13,614	12,246	10,045	12,159
2016	9,191	11,842	12,043	11,517	13,706	12,229	13,157	12,253	11,885	13,036	12,482	21,427
2017	7,792	7,702	8,426	9,182	10,521	9,493	12,961	14,151	10,499	9,254	8,121	7,610
2018	5,938	6,631	8,849	8,825	9,922	9,867	8,203	9,113	10,540	7,951	8,742	10,128
2019	7,101	8,592	9,860	10,431	10,713	8,886	7,358	8,701	5,985	6,761	6,713	6,713
2020	5,530	5,816	5,367	3,565	6,234	7,439	7,622	6,968	6,700	6,318	4,767	5,446
2021	5,377	4,915	6,899	6,770	7,716	7,103	7,838	7,536	6,191	6,289	4,505	3,987
2022	3,890	5,059	5,175	4,414	4,116	4,954	5,322	5,322	5,113	4,782	4,050	4,543
2023	4,844	5,233	6,907	6,590	0	0	0	0	0	0	0	0
